时间,开盘价,最高价,最低价,收盘价
2014-09-29,22.41872922179568,22.70959531529356,21.55053894579386,22.092607498168945
2014-10-06,22.189560392074707,22.24244635579257,19.94636537312014,20.082984924316406
2014-10-13,20.201978742836577,20.92473687323925,19.580582869145374,20.673534393310547
2014-10-20,20.56335641725494,21.77529877328535,20.47962282332904,21.713600158691406
2014-10-27,21.568160665380542,22.718404107971935,21.493241418884445,22.66111183166504
2014-11-03,22.67433994175202,23.03131097621648,22.542128385240694,22.731632232666016
2014-11-10,22.771293316344636,23.057753078806098,22.66993107085425,23.048938751220703
2014-11-17,22.974020548018903,23.81136153331526,22.758073715120304,23.67474365234375
2014-11-24,23.73643688777262,24.569371360886915,23.652701631406963,24.481229782104492
2014-12-01,24.450382852447877,24.917532088477614,24.053748231209905,24.913124084472656
2014-12-08,24.873462782483745,24.961604378062887,23.868652963900374,23.890687942504883
2014-12-15,24.02731012423107,24.53412141213858,23.32658696863609,24.28291893005371
2014-12-22,24.163923877045427,24.64429206335706,24.10663159528424,24.388683319091797
2014-12-29,24.711796600433342,24.711796600433342,24.105481278866677,24.292726516723633
2015-01-05,24.212479903581112,24.283811021093236,23.213842557743412,24.11885643005371
2015-01-12,24.083188392559887,24.29272426532939,23.35204411396131,23.909318923950195
2015-01-19,23.98065351706588,24.760838364446148,23.84690788336286,24.569135665893555
2015-01-26,24.52900934206345,24.604797903304817,23.472416731063593,23.508081436157227
2015-02-02,23.51253889456027,24.44875986971904,23.11130036196782,24.038604736328125
2015-02-09,23.95389935992548,25.188820498163345,23.5972438345983,25.139780044555664
2015-02-16,25.095198833274605,25.309192149252304,25.028325177989455,25.291358947753906
2015-02-23,25.246778574374613,25.639098817780194,25.032785250516724,25.398357391357422
2015-03-02,25.612353099415554,26.067089592694444,25.211114516914204,25.269071578979492
2015-03-09,25.23786094016824,25.295817994465914,24.426468982671544,24.9168701171875
2015-03-16,24.97483121940468,25.804056512727257,24.76083786962272,25.741641998291016
2015-03-23,25.683680759768258,25.78176166689262,23.4590390527272,24.693960189819336
2015-03-30,24.765293469712493,25.023869810960342,24.32393275022784,24.479969024658203
2015-04-06,24.18126850456319,25.068449020385742,24.118852299345285,25.068449020385742
2015-04-13,25.077365516940727,25.215570276918903,24.56021458052919,24.693960189819336
2015-04-20,24.82770949766012,25.514272548471656,24.82770949766012,24.983747482299805
2015-04-27,25.019408394214597,25.43848012302284,24.600338366074038,25.429563522338867
2015-05-04,25.456315742297967,25.49198215080432,24.636007053999446,25.22003173828125
2015-05-11,25.202194708380325,25.545476185138625,24.885663033941213,25.438480377197266
2015-05-18,25.50089747717659,25.857553041057603,25.38052590549152,25.763931274414062
2015-05-25,25.72380577259144,26.74473364072274,25.45185539106,26.664485931396484
2015-06-01,26.73581696807832,26.807148076103275,25.460771924047968,25.62572479248047
2015-06-08,25.63018558661735,25.76393121015567,24.98820387256483,25.389442443847656
2015-06-15,25.139781524757773,25.906592224860937,25.028326560238956,25.71934700012207
2015-06-22,25.911050384555676,26.040338555097502,24.765293453986448,24.92578887939453
2015-06-29,24.600339127831404,24.74300134185716,24.18126908671421,24.573589324951172
2015-07-06,24.32838627409158,24.533462973291943,23.124672477711204,23.5838680267334
2015-07-13,23.726536505763672,24.06090144321505,23.396629019184385,23.833532333374023
2015-07-20,23.85582014499937,23.909319753094387,22.81706074750449,22.830434799194336
2015-07-27,22.683312718841176,23.588326401290036,22.482693461467193,23.24950408935547
2015-08-03,23.20938417790243,23.33867065400875,22.692233171473365,22.95972442626953
2015-08-10,23.093469975346768,23.60616352941321,22.4381158931184,22.580778121948242
2015-08-17,22.473780383309276,22.76802144001737,20.81532986331753,20.859912872314453
2015-08-24,19.406538587291003,22.24195326041716,19.406538587291003,22.183996200561523
2015-08-31,22.085916892105992,22.406906043856154,21.261149107569242,21.805049896240234
2015-09-07,22.331115641131642,23.071176500462773,22.010124815172407,22.402446746826172
2015-09-14,22.531733835449973,23.129132454971895,22.273157526691282,22.357864379882812
2015-09-21,22.513902378339438,22.54510963172134,21.194276033234654,21.831798553466797
2015-09-28,21.760465931390964,22.451486309239066,21.25668906080451,22.438112258911133
2015-10-05,22.66993802799871,23.570494302692346,22.56294221950766,23.29854393005371
2015-10-12,23.40999988347331,24.047522413421746,22.955265127072913,23.998483657836914
2015-10-19,24.01185913130104,25.126408836982165,23.869196905027287,25.02387046813965
2015-10-26,25.0015807047803,25.0015807047803,23.971736127804785,24.167896270751953
2015-11-02,24.225853042028785,24.800961111883286,24.060900157884912,24.604799270629883
2015-11-09,24.569128385954865,24.569128385954865,23.374331237651187,23.476869583129883
2015-11-16,23.476874886630675,24.573591386720615,23.47241743611052,24.426471710205078
2015-11-23,24.42646938478341,24.61371290082614,24.016314248592916,24.56021499633789
2015-11-30,24.653837215145142,25.39835724447095,24.564672905553078,25.322566986083984
2015-12-07,25.40727462432656,25.40727462432656,24.18572745700606,24.23476791381836
2015-12-14,24.25259785797321,24.79203940909653,23.79340230642666,23.958356857299805
2015-12-21,23.686407677144484,24.252599056553347,23.610617422871407,24.15897560119629
2015-12-28,24.59194681720216,24.98366740998239,24.26854705810547,24.26854705810547
2016-01-04,23.84038556695526,24.077240961910128,22.104965209960938,22.104965209960938
2016-01-11,22.382816389848404,22.674330207635176,21.016344065803356,21.271419525146484
2016-01-18,21.594819227914822,22.305385516882172,20.957131399029283,22.177846908569336
2016-01-25,22.136850361460166,22.68343962394695,21.649475384612284,22.647001266479492
2016-02-01,22.455696705724044,22.87930330029695,21.713246194932022,21.79523468017578
2016-02-08,21.417178154752133,21.540160882304072,20.51075067578468,21.193986892700195
2016-02-15,22.141405641155465,22.615116438290496,21.467279539490683,22.387371063232422
2016-02-22,22.624224057535386,23.15259498015669,21.98653806870011,23.04783058166504
2016-02-29,23.056942955945544,24.209335818825938,22.961290308500764,24.00891876220703
2016-03-07,23.858606657148844,24.42341423034668,23.58986703742362,24.42341423034668
2016-03-14,24.318649670556752,25.006441642322553,24.045355928997946,24.997331619262695
2016-03-21,24.86523796321423,25.061099107793172,24.414301395156876,24.646602630615234
2016-03-28,24.68759851444436,25.348060436532826,24.46440728678549,25.206857681274414
2016-04-04,25.220526652668838,25.23419255904549,24.61472475513217,24.842470169067383
2016-04-11,25.001884528193298,25.35261257967318,24.54639382303384,24.874347686767578
2016-04-18,24.778700202005314,24.997335577383303,24.49629465511084,24.692155838012695
2016-04-25,24.742257399749047,25.161309793258784,23.744733282820643,23.895044326782227
2016-05-02,23.940592675339637,24.104567873665385,23.366673399742353,23.639968872070312
2016-05-09,23.685518167004197,23.963367792741998,23.175369031462235,23.416778564453125
2016-05-16,23.43044234288932,24.664823532104492,23.43044234288932,24.664823532104492
2016-05-23,24.89712589686463,25.85365583721171,24.796917369521047,25.8217716217041
2016-05-30,25.93564293617545,26.213492574434945,25.73978177273218,26.06773567199707
2016-06-06,26.076849791755883,26.33192527986919,25.75345172226981,25.826330184936523
2016-06-13,25.685124177341606,26.00396806304724,25.234189289215127,25.49837303161621
2016-06-20,25.8627628008011,26.668981592287626,25.111204147338867,25.111204147338867
2016-06-27,24.865238867258636,26.172496767801228,24.182002776461154,25.776220321655273
2016-07-04,25.557583372605986,26.391130447387695,24.969999954486298,26.391130447387695
2016-07-11,26.546000834268813,27.32033547079045,26.518672500812336,27.192798614501953
2016-07-18,27.876039044717096,28.354304067010162,27.789494675285656,28.231321334838867
2016-07-25,28.244983939138514,29.38826509053231,28.244983939138514,28.92366600036621
