comparison,period,variant,pct,price_lambda,candidate_count,selected_count,event_count,covered_event_count,stage1_event_coverage,post_bottom_rate,center_day_rate,overpay_mean,overpay_median,overpay_p75,overpay_p90,within_0_8pct_rate,exact_bottom_rate
matched_budget,development,spatial_p0060_l100,0.006,1.0,978,460,,,,,,0.01922811985400974,0.009076877830179297,0.02607636550136655,0.048782517911404824,0.4782608695652174,0.21304347826086956
matched_budget,development,spatial_p0060_l200,0.006,2.0,978,460,,,,,,0.018888474807550997,0.008777584834237295,0.02607636550136655,0.048880798926021034,0.4826086956521739,0.21956521739130436
matched_budget,development,spatial_p0060_l400,0.006,4.0,978,460,,,,,,0.01922515547005733,0.009245453909397128,0.026031783704020317,0.04864159429392914,0.4652173913043478,0.21956521739130436
matched_budget,development,spatial_p0080_l000,0.008,0.0,978,460,,,,,,0.01826934827794562,0.008716392988893595,0.024078566763954146,0.04719321047728894,0.48043478260869565,0.18478260869565216
matched_budget,development,spatial_p0080_l025,0.008,0.25,978,460,,,,,,0.017698775884687025,0.008250488005439705,0.023986123326967757,0.0469776785497503,0.4934782608695652,0.1934782608695652
matched_budget,development,spatial_p0080_l050,0.008,0.5,978,460,,,,,,0.017889602032861714,0.00833119832882434,0.023978466753568517,0.046317430365354975,0.4934782608695652,0.20217391304347826
matched_budget,development,spatial_p0080_l100,0.008,1.0,978,460,,,,,,0.018648325206148793,0.008533004728008553,0.02509068082029703,0.048426768688145536,0.48695652173913045,0.20434782608695654
matched_budget,development,spatial_p0080_l200,0.008,2.0,978,460,,,,,,0.018460111972351572,0.008591777807685164,0.024865254097293954,0.048426768688145536,0.48478260869565215,0.20652173913043478
matched_budget,development,spatial_p0080_l400,0.008,4.0,978,460,,,,,,0.018670509431872147,0.008533004728008553,0.02570159067269734,0.04864159429392914,0.4891304347826087,0.20652173913043478
matched_budget,development,spatial_p0100_l000,0.01,0.0,978,460,,,,,,0.01719743183556729,0.008777584834237295,0.023765475471617115,0.044233936532596475,0.47391304347826085,0.17173913043478262
matched_budget,development,spatial_p0100_l025,0.01,0.25,978,460,,,,,,0.017505384618824334,0.008777584834237295,0.023986123326967757,0.04534464972313046,0.4782608695652174,0.18043478260869567
matched_budget,development,spatial_p0100_l050,0.01,0.5,978,460,,,,,,0.01854012914005932,0.009064618786162826,0.02401426986198385,0.04719321047728894,0.46956521739130436,0.17608695652173914
matched_budget,development,spatial_p0100_l100,0.01,1.0,978,460,,,,,,0.01799995875811069,0.00881652990506454,0.02401426986198385,0.04719321047728894,0.4782608695652174,0.18478260869565216
matched_budget,development,spatial_p0100_l200,0.01,2.0,978,460,,,,,,0.017390982631856584,0.008871363863496073,0.023986123326967757,0.04534464972313046,0.47391304347826085,0.18695652173913044
matched_budget,development,spatial_p0100_l400,0.01,4.0,978,460,,,,,,0.018561648966828367,0.009097597793996548,0.024865254097293954,0.04762333701158576,0.46956521739130436,0.1826086956521739
matched_budget,development,spatial_p0120_l000,0.012,0.0,978,460,,,,,,0.016064270011534126,0.008456039721256303,0.022285006208550118,0.0378901837396111,0.48695652173913045,0.17173913043478262
matched_budget,development,spatial_p0120_l025,0.012,0.25,978,460,,,,,,0.01617949990049788,0.008533004728008553,0.022166145462686526,0.03884133459202957,0.48695652173913045,0.17608695652173914
matched_budget,development,spatial_p0120_l050,0.012,0.5,978,460,,,,,,0.016499871584521222,0.008777584834237295,0.022944365199710215,0.039056528620633066,0.4782608695652174,0.17173913043478262
matched_budget,development,spatial_p0120_l100,0.012,1.0,978,460,,,,,,0.01680268902313885,0.00868700502657771,0.02305697371911314,0.04232830678402896,0.48043478260869565,0.18043478260869567
matched_budget,development,spatial_p0120_l200,0.012,2.0,978,460,,,,,,0.016908117583001474,0.00881652990506454,0.023839215651518586,0.04213222395631058,0.47608695652173916,0.17608695652173914
matched_budget,development,spatial_p0120_l400,0.012,4.0,978,460,,,,,,0.01784552862958725,0.00868700502657771,0.023978466753568517,0.046317430365354975,0.48043478260869565,0.18043478260869567
matched_budget,development,spatial_p0150_l000,0.015,0.0,978,460,,,,,,0.016341057401511642,0.008777584834237295,0.02037290448548945,0.03770953437734917,0.47608695652173916,0.15869565217391304
matched_budget,development,spatial_p0150_l025,0.015,0.25,978,460,,,,,,0.016855360256322033,0.008956189952587512,0.022060537694349125,0.03975534072125598,0.4652173913043478,0.1565217391304348
matched_budget,development,spatial_p0150_l050,0.015,0.5,978,460,,,,,,0.01630205718948205,0.008716392988893595,0.02091327524824904,0.0378901837396111,0.47608695652173916,0.1608695652173913
matched_budget,development,spatial_p0150_l100,0.015,1.0,978,460,,,,,,0.01621937345916721,0.008533004728008553,0.020555617468150267,0.03770953437734917,0.48478260869565215,0.16956521739130434
matched_budget,development,spatial_p0150_l200,0.015,2.0,978,460,,,,,,0.017006037202859103,0.008533004728008553,0.022166145462686526,0.03984863147507416,0.48478260869565215,0.17173913043478262
matched_budget,development,spatial_p0150_l400,0.015,4.0,978,460,,,,,,0.016376599862088077,0.00881652990506454,0.020555617468150267,0.03856602397416938,0.47391304347826085,0.16304347826086957
matched_budget,development,spatial_p0200_l000,0.02,0.0,978,460,,,,,,0.015843996926843802,0.009358081774834104,0.02043946245139433,0.037224293549852114,0.44130434782608696,0.1391304347826087
matched_budget,development,spatial_p0200_l025,0.02,0.25,978,460,,,,,,0.015034885279073734,0.009245453909397128,0.020344833531470485,0.03693344588820095,0.44782608695652176,0.14565217391304347
matched_budget,development,spatial_p0200_l050,0.02,0.5,978,460,,,,,,0.01617182835895705,0.009497902877601994,0.02137377443356464,0.037224293549852114,0.4369565217391304,0.1282608695652174
matched_budget,development,spatial_p0200_l100,0.02,1.0,978,460,,,,,,0.015891973031130192,0.009278303033640967,0.02137377443356464,0.0378901837396111,0.44782608695652176,0.14130434782608695
matched_budget,development,spatial_p0200_l200,0.02,2.0,978,460,,,,,,0.016349368799968705,0.009244838492661223,0.020555617468150267,0.0378901837396111,0.4543478260869565,0.14130434782608695
matched_budget,development,spatial_p0200_l400,0.02,4.0,978,460,,,,,,0.016688217136203137,0.009244838492661223,0.0220567914499471,0.03884133459202957,0.4543478260869565,0.15217391304347827
matched_budget,development,spatial_p0250_l000,0.025,0.0,978,460,,,,,,0.015223775747075608,0.010633145454102433,0.02035512057503197,0.03473703642489383,0.41304347826086957,0.1282608695652174
matched_budget,development,spatial_p0250_l025,0.025,0.25,978,460,,,,,,0.015570875703233287,0.010866550841005518,0.020857737759353512,0.037224293549852114,0.4043478260869565,0.12173913043478261
matched_budget,development,spatial_p0250_l050,0.025,0.5,978,460,,,,,,0.015104835331371776,0.010001728504787533,0.02043946245139433,0.03693344588820095,0.4260869565217391,0.13260869565217392
matched_budget,development,spatial_p0250_l100,0.025,1.0,978,460,,,,,,0.0150310302374868,0.009693837109209236,0.02066904196513658,0.0349783690077429,0.4282608695652174,0.13695652173913042
