variant,pct,price_lambda,stage1_precision,stage1_day_recall,stage1_event_recall,gt_days_per_event,oos_samples,positive_rate,auc_roc,auc_pr,precision,recall,event_recall,selected_premium_median,selected_count
v3_n2_stored_oos,0.002,0.0,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.5950530471255859,0.15951057476397,0.18731117824773413,0.6424870466321243,0.4772727272727273,0.0,662
spatial,0.002,0.0,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.7884635719572803,0.2835615525158529,0.2573018080667594,0.9585492227979274,0.6727272727272727,0.0,719
spatial,0.002,0.25,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.7879590955553206,0.2809907680477348,0.2576601671309192,0.9585492227979274,0.6727272727272727,0.0,718
spatial,0.002,0.5,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.7875140989038102,0.28617573972798716,0.2587904360056259,0.9533678756476683,0.6681818181818182,0.0,711
spatial,0.002,1.0,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.7865778435726622,0.28503638518478436,0.2591549295774648,0.9533678756476683,0.6681818181818182,0.0,710
spatial,0.002,2.0,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.7889328010997145,0.28755770097393324,0.26173541963015645,0.9533678756476683,0.6681818181818182,0.0,703
spatial,0.002,4.0,0.14097881665449233,0.5975232198142415,0.6818181818181818,1.4681818181818183,1369,0.14097881665449233,0.7892610412040465,0.2862554872333521,0.2591549295774648,0.9533678756476683,0.6681818181818182,0.0,710
v3_n2_temporal,0.0025,0.0,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.6042424291841295,0.18132728449232205,0.2003012048192771,0.6273584905660378,0.4954545454545455,0.0,664
v3_n2_stored_oos,0.0025,0.0,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.5926966292134832,0.1738223400074224,0.20090634441087613,0.6273584905660378,0.4863636363636364,0.0,662
spatial,0.0025,0.0,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.7691594233623065,0.2811953870927047,0.2794943820224719,0.9386792452830188,0.6772727272727272,0.0,712
spatial,0.0025,0.25,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.7642324815316124,0.27597305110374165,0.28169014084507044,0.9433962264150944,0.6772727272727272,0.0,710
spatial,0.0025,0.5,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.7663728575854928,0.2815710801924231,0.2818696883852691,0.9386792452830188,0.6772727272727272,0.0,706
spatial,0.0025,1.0,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.7682706576866001,0.2811847025068147,0.2818696883852691,0.9386792452830188,0.6772727272727272,0.0,706
spatial,0.0025,2.0,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.766383049852416,0.2816873125727682,0.27848101265822783,0.9339622641509434,0.6727272727272727,0.0,711
spatial,0.0025,4.0,0.15485756026296568,0.5905292479108635,0.6863636363636364,1.6318181818181818,1369,0.15485756026296568,0.7711408000521843,0.2890427907493221,0.279887482419128,0.9386792452830188,0.6727272727272727,0.0,711
v3_n2_temporal,0.003,0.0,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.601513209013209,0.19201803527573738,0.21084337349397592,0.6222222222222222,0.509090909090909,0.0,664
v3_n2_stored_oos,0.003,0.0,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.5901146076146075,0.1840813921483308,0.20996978851963746,0.6177777777777778,0.4954545454545455,0.0,662
spatial,0.003,0.0,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.7663578088578089,0.2892233276687482,0.2917251051893408,0.9244444444444444,0.6727272727272727,0.0,713
spatial,0.003,0.25,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.7634090909090909,0.28512771047338753,0.29772079772079774,0.9288888888888889,0.6681818181818182,0.0,702
spatial,0.003,0.5,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.7648348873348874,0.2884482850198955,0.2947813822284908,0.9288888888888889,0.6681818181818182,0.0,709
spatial,0.003,1.0,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.7610198135198135,0.2837381339062065,0.2965034965034965,0.9422222222222222,0.6772727272727272,0.0,715
spatial,0.003,2.0,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.7586907536907537,0.2810325777356296,0.2969187675070028,0.9422222222222222,0.6818181818181818,0.0,714
spatial,0.003,4.0,0.1643535427319211,0.5754475703324808,0.6863636363636364,1.7772727272727273,1369,0.1643535427319211,0.7589937839937839,0.28329695511035846,0.29760225669957685,0.9377777777777778,0.6772727272727272,0.0,709
v3_n2_temporal,0.0035,0.0,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.5950504887546106,0.20161924562621966,0.21987951807228914,0.6033057851239669,0.5181818181818182,0.0,664
v3_n2_stored_oos,0.0035,0.0,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.5836327703916637,0.19352517793110963,0.22205438066465258,0.6074380165289256,0.5,0.0,662
