pct,price_lambda,period,samples,auc_roc,auc_pr,precision,recall
0.002,0.5,2020-2026,391,0.7685860959920832,0.2393403252547889,0.22330097087378642,0.9787234042553191
0.002,1.0,2005-2012,604,0.787940379403794,0.2971576400829108,0.24836601307189543,0.926829268292683
0.002,1.0,2013-2019,374,0.7996975806451613,0.33947767459095385,0.31313131313131315,0.96875
0.002,1.0,2020-2026,391,0.766823354774864,0.23918031483323907,0.22330097087378642,0.9787234042553191
0.002,2.0,2005-2012,604,0.7912227829174843,0.30730081397857245,0.25333333333333335,0.926829268292683
0.002,2.0,2013-2019,374,0.799672379032258,0.3386146266408703,0.3147208121827411,0.96875
0.002,2.0,2020-2026,391,0.7756061355764473,0.253713191185739,0.22330097087378642,0.9787234042553191
0.002,4.0,2005-2012,604,0.7898327259134661,0.293434683773808,0.25,0.926829268292683
0.002,4.0,2013-2019,374,0.8029989919354839,0.3412359703415057,0.31,0.96875
0.002,4.0,2020-2026,391,0.7714621474517566,0.2435036310400818,0.22330097087378642,0.9787234042553191
0.0025,0.0,2005-2012,604,0.7643467643467644,0.28044060297600265,0.26384364820846906,0.8901098901098901
0.0025,0.0,2013-2019,374,0.7909004514136374,0.3419589018764903,0.335,0.9710144927536232
0.0025,0.0,2020-2026,391,0.7397038801906058,0.2361854667733644,0.24878048780487805,0.9807692307692307
0.0025,0.25,2005-2012,604,0.7587023113338902,0.2744026092297541,0.26973684210526316,0.9010989010989011
0.0025,0.25,2013-2019,374,0.7836540746020432,0.3345513482678865,0.3316831683168317,0.9710144927536232
0.0025,0.25,2020-2026,391,0.7446108463807579,0.23911460540692456,0.25,0.9807692307692307
0.0025,0.5,2005-2012,604,0.7615834457939721,0.280879573971579,0.271523178807947,0.9010989010989011
0.0025,0.5,2013-2019,374,0.7861487289142314,0.3393780867331475,0.33,0.9565217391304348
0.0025,0.5,2020-2026,391,0.7413489902427955,0.25347853428290146,0.25,0.9807692307692307
0.0025,1.0,2005-2012,604,0.7572563888353363,0.27465331281288197,0.26973684210526316,0.9010989010989011
0.0025,1.0,2013-2019,374,0.7953670705630791,0.3467929899256823,0.3333333333333333,0.9565217391304348
0.0025,1.0,2020-2026,391,0.7503403675970047,0.24879483667437538,0.25,0.9807692307692307
0.0025,2.0,2005-2012,604,0.7570207570207571,0.2753004250776639,0.26557377049180325,0.8901098901098901
0.0025,2.0,2013-2019,374,0.7911142789261107,0.3495145872378299,0.3316582914572864,0.9565217391304348
0.0025,2.0,2020-2026,391,0.7467948717948718,0.24849680042179467,0.2463768115942029,0.9807692307692307
0.0025,4.0,2005-2012,604,0.7565709144656514,0.28074606675583763,0.2679738562091503,0.9010989010989011
0.0025,4.0,2013-2019,374,0.7996436208125446,0.35610379246325014,0.3333333333333333,0.9565217391304348
0.0025,4.0,2020-2026,391,0.7560982527796688,0.26092505153202145,0.2463768115942029,0.9807692307692307
0.003,0.0,2005-2012,604,0.7609703083989502,0.27994062915864065,0.2757475083056478,0.8645833333333334
0.003,0.0,2013-2019,374,0.7961261261261262,0.371509510443636,0.34782608695652173,0.972972972972973
0.003,0.0,2020-2026,391,0.7403950216450217,0.2500417881641714,0.25853658536585367,0.9636363636363636
0.003,0.25,2005-2012,604,0.7575049212598426,0.2783844979448708,0.27946127946127947,0.8645833333333334
0.003,0.25,2013-2019,374,0.7950900900900901,0.3651949667228204,0.3613861386138614,0.9864864864864865
0.003,0.25,2020-2026,391,0.730573593073593,0.23177879335190166,0.26108374384236455,0.9636363636363636
0.003,0.5,2005-2012,604,0.7606832349081365,0.28305867053313755,0.28040540540540543,0.8645833333333334
0.003,0.5,2013-2019,374,0.7954279279279279,0.36838482796585026,0.3526570048309179,0.9864864864864865
0.003,0.5,2020-2026,391,0.7286255411255411,0.24107864151255526,0.25728155339805825,0.9636363636363636
0.003,1.0,2005-2012,604,0.7579252788713912,0.27874726964184365,0.28289473684210525,0.8958333333333334
0.003,1.0,2013-2019,374,0.7931531531531532,0.36581040410728294,0.35436893203883496,0.9864864864864865
0.003,1.0,2020-2026,391,0.7245400432900433,0.23424571223624208,0.25853658536585367,0.9636363636363636
0.003,2.0,2005-2012,604,0.7547777230971129,0.278242451232578,0.28618421052631576,0.90625
0.003,2.0,2013-2019,374,0.7854279279279279,0.3491918969874264,0.35294117647058826,0.972972972972973
0.003,2.0,2020-2026,391,0.7303030303030302,0.23721610887015765,0.25728155339805825,0.9636363636363636
0.003,4.0,2005-2012,604,0.7534653871391076,0.27946881210895375,0.2847682119205298,0.8958333333333334
0.003,4.0,2013-2019,374,0.7852927927927928,0.35164811087143577,0.35467980295566504,0.972972972972973
0.003,4.0,2020-2026,391,0.7303300865800866,0.24115821639791596,0.25980392156862747,0.9636363636363636
0.0035,0.0,2005-2012,604,0.7571943491657461,0.2938342544903558,0.30132450331125826,0.883495145631068
0.0035,0.0,2013-2019,374,0.783487127628197,0.38557272971978995,0.3737864077669903,0.9506172839506173
0.0035,0.0,2020-2026,391,0.7354250802526665,0.25655074860332294,0.2669902912621359,0.9482758620689655
0.0035,0.25,2005-2012,604,0.7527081758812473,0.28799525669239734,0.2956810631229236,0.8640776699029126
0.0035,0.25,2013-2019,374,0.7814646273121814,0.3855264545445957,0.37438423645320196,0.9382716049382716
0.0035,0.25,2020-2026,391,0.729211970591281,0.23660496895595343,0.2722772277227723,0.9482758620689655
0.0035,0.5,2005-2012,604,0.752717865240393,0.2884763305989006,0.2977346278317152,0.8932038834951457
0.0035,0.5,2013-2019,374,0.7733114229132431,0.3701623776999103,0.3645320197044335,0.9135802469135802
0.0035,0.5,2020-2026,391,0.7294190742466604,0.2569940591322267,0.2696078431372549,0.9482758620689655
0.0035,1.0,2005-2012,604,0.7566323663352906,0.2955756860794706,0.3016393442622951,0.8932038834951457
0.0035,1.0,2013-2019,374,0.7774828298150255,0.3790378154042314,0.37623762376237624,0.9382716049382716
0.0035,1.0,2020-2026,391,0.7267008387698044,0.2419626835279992,0.2696078431372549,0.9482758620689655
0.0035,2.0,2005-2012,604,0.7579210511016802,0.3005609778379074,0.3006535947712418,0.8932038834951457
0.0035,2.0,2013-2019,374,0.7777145746429023,0.3797541504680048,0.3694581280788177,0.9259259259259259
0.0035,2.0,2020-2026,391,0.7251993372683028,0.23860332870358275,0.2669902912621359,0.9482758620689655
0.0035,4.0,2005-2012,604,0.755702187857295,0.2958145299432834,0.3026315789473684,0.8932038834951457
0.0035,4.0,2013-2019,374,0.7788943664939114,0.37704744040102484,0.3681592039800995,0.9135802469135802
0.0035,4.0,2020-2026,391,0.7318266542404473,0.24518602229803046,0.270935960591133,0.9482758620689655
0.004,0.0,2005-2012,604,0.7605999263894001,0.31566009923091676,0.31666666666666665,0.8636363636363636
0.004,0.0,2013-2019,374,0.7711174435171992,0.37949342872349806,0.3827751196172249,0.9411764705882353
0.004,0.0,2020-2026,391,0.7276586931759346,0.24206237713512907,0.2669902912621359,0.9482758620689655
0.004,0.25,2005-2012,604,0.7609311740890689,0.31629402013259356,0.3141891891891892,0.8454545454545455
0.004,0.25,2013-2019,374,0.7611642580907796,0.36880791689242626,0.3827751196172249,0.9411764705882353
0.004,0.25,2020-2026,391,0.729211970591281,0.2452700454420328,0.2722772277227723,0.9482758620689655
0.004,0.5,2005-2012,604,0.7658722856091277,0.3230223078065644,0.3197278911564626,0.8545454545454545
